X,Y,Z,Roll,Pitch,Yaw
1.750717323,1.379112362,0.003465579,24.75,-0.75,-0.97
1.175725642,1.382309688,-0.198610385,19.27,-1.29,-0.7
1.75,0.557649453,0.070953524,24.88,-0.31,-0.97
1.086104608,0.519411531,0.003655456,24.82,-3.86,2.15
1.5,1.482428106,-0.007161409,24.85,-3.91,2.17
2,1.75,0.003540232,24.87,-3.87,2.16
1.25,1.75,0.004645371,25.01,-0.73,-0.98
0.046861304,1.778484903,0.002668819,24.99,-3.86,2.15
1,0.101278566,0.00385833,25.15,-0.74,-0.99
1.75,1.5,0.001866513,25.2,-0.73,-1
1.75,0.496374864,0.005099094,25.18,-0.72,-1
1.714654685,0.293211106,0.005564548,25.37,-3.86,2.13
1.084758058,1.373591107,-0.276832979,19.27,-1.35,-0.7
1.75,0.843952745,0.078859613,25.34,-3.32,2.11
2,0.282553577,0.007478939,25.46,-3.85,2.11
2,0.000486768,0.005886215,25.65,-3.84,2.11
1.5,1.699089721,0.003452751,25.66,-0.7,-1.04
